# z_cadidates 	 DM_IGM_candidates 	 sigma_dm
0.385777	772.982451	248.903764
0.460245	317.595110	93.628758
0.535232	911.046472	249.057423
0.421103	113.687869	35.038859
0.196832	140.207048	63.205080
0.043285	13.810731	13.276327
0.072812	196.718794	145.805655
0.101477	299.197865	187.847178
0.268629	216.864018	83.683734
0.205987	253.795152	111.839035
0.264217	410.444284	159.699600
0.144279	201.826204	106.268851
0.292537	80.018033	29.588808
0.428716	524.810421	160.305196
0.297195	63.108862	23.152591
0.346463	79.001561	26.843382
0.158417	71.593625	35.975220
0.130697	58.522558	32.375798
0.371341	33.822027	11.100516
0.146646	135.668616	70.855616
0.416453	168.734236	52.293801
0.345612	302.973364	103.071842
0.073022	127.380871	94.277346
0.254501	52.383515	20.767293
0.179683	258.270486	121.857224
0.160870	271.169418	135.217585
0.309485	220.697347	79.342760
0.254857	385.910639	152.886263
0.297425	502.387793	184.238479
0.207156	168.676615	74.120120
0.115292	215.371437	126.858191
0.218678	398.392974	170.388045
0.040028	39.291324	39.277579
0.077379	78.409773	56.375270
0.025081	17.776681	22.449582
0.144533	39.151088	20.596353
0.085603	176.003929	120.311701
0.589394	556.879660	145.073636
0.094146	76.404785	49.802325
0.465497	448.683641	131.526053
1.370536	1276.453532	218.066916
0.399190	551.315340	174.518007
0.360221	432.114322	143.993916
0.312970	252.040629	90.105063
0.415563	298.426570	92.586794
0.164363	88.029011	43.426396
0.088174	244.365566	164.588593
0.107808	142.863958	87.021623
0.229644	264.779932	110.506420
0.475797	208.481276	60.448594
0.157389	165.352222	83.359067
0.185202	83.197272	38.664843
0.462782	496.040160	145.833939
0.445488	157.848795	47.299142
0.182361	121.315707	56.817359
0.799415	705.138379	157.731416
0.089173	104.943691	70.286132
0.227572	144.962163	60.775039
0.707900	900.298774	214.008340
0.115570	71.373218	41.989695
0.112925	247.252759	147.155362
0.152288	113.888371	58.368232
0.121250	140.286578	80.575915
0.135129	129.161302	70.272941
0.240358	51.476483	20.999530
0.057306	36.437814	30.442637
0.126852	74.043657	41.578536
0.509302	447.806509	125.496816
0.516269	535.100864	148.945581
0.969724	1153.689205	234.312120
0.376774	412.940146	134.547812
0.093154	75.626814	49.557004
0.067617	46.891180	36.065604
0.137030	81.716256	44.149992
0.386923	501.159942	161.136554
0.232279	243.649584	101.109205
0.660712	604.082122	148.634587
0.248909	322.027608	129.093032
0.378759	154.880834	50.332232
0.564484	415.912905	110.715028
0.319706	544.116084	192.462519
0.049232	36.745459	33.121495
0.039037	8.271371	8.372772
0.231878	474.298879	196.993693
0.258899	156.543455	61.531815
0.114049	127.847702	75.714173
0.064362	11.681821	9.209282
0.228467	196.628141	82.274250
0.486859	508.884260	145.863763
0.190373	69.050989	31.651713
0.279541	240.895275	91.124576
0.105853	172.047425	105.761253
0.590963	505.950560	131.630924
0.304537	450.115816	163.130150
0.108544	357.223323	216.853727
0.502692	532.391435	150.179298
0.492265	467.554757	133.279390
0.520570	440.946122	122.229477
0.322390	374.764171	132.007096
0.295710	437.362484	160.856464
0.109155	205.336316	124.300806
0.050801	99.359427	88.166367
0.109283	81.909915	49.555307
0.092209	32.488520	21.398004
0.374821	184.510082	60.275128
0.161957	239.099761	118.825398
0.161940	55.877275	27.770784
0.174310	84.568681	40.511507
